metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
iou_jaccard,PLANKSTER,PORED2,81,80,227.0,1.5341604348626828e-11,approx(pratt),2.914904826239097e-10,80,70,3.161290522649495e-12,6.00645199303404e-11,0.12581262338426868,0.12581262338426868
iou_jaccard,PLANKSTER,SAMJ,81,81,24.0,1.3317096267194204e-14,approx(pratt),3.995128880158261e-13,81,77,1.4495364161868997e-18,3.7687946820859393e-17,0.4270833333333333,0.4270833333333333
iou_jaccard,PLANKSTER,SEMI,81,80,1053.0,0.0042958245429408955,approx(pratt),0.04725406997234985,80,30,0.03299261842647619,0.3299261842647619,-0.03591853931412503,-0.03591853931412503
iou_jaccard,PLANKSTER,UNET,81,80,1413.0,0.245806841077434,approx(pratt),0.491613682154868,80,45,0.31430657986393706,0.9429197395918112,0.009275483242942584,0.009275483242942584
iou_jaccard,PORED2,SAMJ,81,81,94.0,1.6662006038726004e-13,approx(pratt),3.832261388906981e-12,81,72,2.4557438833479224e-13,5.157062155030637e-12,0.2770843734398402,0.2770843734398402
iou_jaccard,PORED2,SEMI,81,77,25.0,1.652429329578942e-14,approx(pratt),4.792045055778931e-13,77,2,3.975760896174872e-20,1.2324858778142104e-18,-0.14292523751020536,-0.14292523751020536
iou_jaccard,PORED2,UNET,81,80,326.0,3.418325325834137e-10,approx(pratt),6.1529855865014465e-09,80,15,1.411466840981396e-08,2.540640313766513e-07,-0.11064919098542553,-0.11064919098542553
iou_jaccard,SAMJ,SEMI,81,81,14.0,9.201516100676866e-15,approx(pratt),2.944485152216597e-13,81,3,7.332294385792548e-20,2.1996883157377644e-18,-0.47214244686961515,-0.47214244686961515
iou_jaccard,SAMJ,UNET,81,81,42.0,2.576386802093205e-14,approx(pratt),6.956244365651653e-13,81,4,1.4495364161868997e-18,3.6238410404672494e-17,-0.41642055522740695,-0.41642055522740695
iou_jaccard,SEMI,UNET,81,80,962.0,0.001023321542859283,approx(pratt),0.013303180057170677,80,51,0.01831609751691632,0.23810926771991214,0.04534500999177149,0.04534500999177149
mcc,60%,FREEHAND,81,76,7.0,9.286909095864192e-15,approx(pratt),3.1575490925938253e-13,76,75,2.0381730293306602e-21,6.725970996791179e-20,0.49537151249203026,0.49537151249203026
mcc,60%,ILASTIK,81,81,1542.0,0.5784999427602561,approx(pratt),1.0,81,41,1.0,1.0,0.002065632709813525,0.002065632709813525
mcc,60%,OTSU,81,80,3.0,6.225682172924233e-15,approx(pratt),2.67704333435742e-13,80,79,1.3400325923359048e-22,5.762140147044391e-21,0.8641923955268098,0.8641923955268098
